fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2018-05-18,DL,DL_CODESHARE,DL,5136,9E,N297PQ,5136,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",1016,1013,-3,58,1111,1231,6,1226,1237,11,0,,0,N,130,144,80,1,461,,,,,,,,,
2018-11-28,UA,UA,UA,599,UA,N68817,599,13930,ORD,"Chicago, IL",12889,LAS,"Las Vegas, NV",2013,2014,1,15,2029,2158,5,2212,2203,-9,0,,0,N,239,229,209,1,1514,,,,,,,,,
2018-12-22,F9,F9,F9,1397,F9,N714FR,1397,11042,CLE,"Cleveland, OH",15304,TPA,"Tampa, FL",1259,1258,-1,22,1320,1529,30,1535,1559,24,0,,0,N,156,181,129,1,927,0,0,24,0,0,,,,
2018-03-05,UA,UA_CODESHARE,UA,3757,YX,N357FC,3757,10397,ATL,"Atlanta, GA",12266,IAH,"Houston, TX",1400,1359,-1,29,1428,1514,9,1525,1523,-2,0,,0,N,145,144,106,1,689,,,,,,,,,
2018-09-11,DL,DL_CODESHARE,DL,5841,CP,N619CZ,5841,14747,SEA,"Seattle, WA",14893,SMF,"Sacramento, CA",1000,1004,4,37,1041,1206,8,1155,1214,19,0,,0,N,115,130,85,1,605,0,0,19,0,0,,,,
2018-04-28,B6,B6,B6,1334,B6,N337JB,1334,14843,SJU,"San Juan, PR",13204,MCO,"Orlando, FL",1707,1723,16,16,1739,2026,18,2019,2044,25,0,,0,N,192,201,167,1,1189,10,0,9,0,6,,,,
2019-03-11,DL,DL,DL,1620,DL,N803DN,1620,12478,JFK,"New York, NY",12889,LAS,"Las Vegas, NV",1759,1759,0,26,1825,2112,7,2056,2119,23,0,,0,N,357,380,347,1,2248,0,0,23,0,0,,,,
2019-03-17,UA,UA,UA,1895,UA,N478UA,1895,12266,IAH,"Houston, TX",14107,PHX,"Phoenix, AZ",935,933,-2,16,949,1010,6,1026,1016,-10,0,,0,N,171,163,141,1,1009,,,,,,,,,
2019-03-14,AA,AA_CODESHARE,AA,3082,OO,N748EV,3082,11977,GRB,"Green Bay, WI",13930,ORD,"Chicago, IL",607,603,-4,9,612,656,13,724,709,-15,0,,0,N,77,66,44,1,174,,,,,,,,,
2018-07-17,F9,F9,F9,1139,F9,N311FR,1139,15356,TTN,"Trenton, NJ",11057,CLT,"Charlotte, NC",1532,1714,102,10,1724,1833,11,1720,1844,84,0,,0,N,108,90,69,1,484,0,0,84,0,0,,,,
2018-08-27,AA,AA,AA,1626,AA,N930AU,1626,12953,LGA,"New York, NY",13303,MIA,"Miami, FL",1515,1507,-8,19,1526,1751,31,1839,1822,-17,0,,0,N,204,195,145,1,1096,,,,,,,,,
2018-03-20,B6,B6,B6,1410,B6,N178JB,1410,12451,JAX,"Jacksonville, FL",10721,BOS,"Boston, MA",1921,1933,12,11,1944,2140,9,2153,2149,-4,0,,0,N,152,136,116,1,1010,,,,,,,,,
2019-06-12,AA,AA_CODESHARE,AA,4910,PT,N609DP,4910,11057,CLT,"Charlotte, NC",13422,MOB,"Mobile, AL",2225,2220,-5,22,2242,2312,4,2322,2316,-6,0,,0,N,117,116,90,1,526,,,,,,,,,
2018-10-21,WN,WN,WN,4336,WN,N942WN,4336,10397,ATL,"Atlanta, GA",11292,DEN,"Denver, CO",1835,1845,10,8,1853,1948,4,1950,1952,2,0,,0,N,195,187,175,1,1199,,,,,,,,,
2018-07-19,DL,DL,DL,2947,DL,N939AT,2947,10397,ATL,"Atlanta, GA",11953,GNV,"Gainesville, FL",2022,2019,-3,19,2038,2137,2,2141,2139,-2,0,,0,N,79,80,59,1,300,,,,,,,,,
2018-03-21,UA,UA_CODESHARE,UA,6054,YV,N88359,6054,11433,DTW,"Detroit, MI",12266,IAH,"Houston, TX",815,815,0,15,830,1007,16,1029,1023,-6,0,,0,N,194,188,157,1,1075,,,,,,,,,
2019-03-03,DL,DL,DL,2826,DL,N546US,2826,10397,ATL,"Atlanta, GA",12478,JFK,"New York, NY",2146,2204,18,23,2227,2355,43,5,38,33,0,,0,N,139,154,88,1,760,10,0,15,0,8,,,,
2018-11-07,DL,DL,DL,2433,DL,N331DN,2433,10397,ATL,"Atlanta, GA",13495,MSY,"New Orleans, LA",857,855,-2,19,914,922,4,930,926,-4,0,,0,N,93,91,68,1,425,,,,,,,,,
2019-12-14,AA,AA,AA,1925,AA,N161UW,1925,11057,CLT,"Charlotte, NC",12892,LAX,"Los Angeles, CA",955,954,-1,36,1030,1252,10,1234,1302,28,0,,0,N,339,368,322,1,2125,0,0,28,0,0,,,,
2018-11-21,UA,UA_CODESHARE,UA,5365,OO,N779SK,5365,11057,CLT,"Charlotte, NC",13930,ORD,"Chicago, IL",1700,1534,1354,48,1622,1652,23,1807,1715,1388,0,,0,N,127,161,90,1,599,1354,0,34,0,0,1659.0,44,44,
2018-08-04,AA,AA_CODESHARE,AA,4508,YX,N444YX,4508,10397,ATL,"Atlanta, GA",11278,DCA,"Washington, DC",1109,1101,-8,13,1114,1228,11,1309,1239,-30,0,,0,N,120,98,74,1,547,,,,,,,,,
2018-01-12,AA,AA,AA,1185,AA,N949NN,1185,12889,LAS,"Las Vegas, NV",12892,LAX,"Los Angeles, CA",1830,1818,-12,21,1839,1918,6,2000,1924,-36,0,,0,N,90,66,39,1,236,,,,,,,,,
2018-04-20,B6,B6,B6,252,B6,N975JB,252,13204,MCO,"Orlando, FL",10721,BOS,"Boston, MA",1030,1021,-9,14,1035,1302,5,1324,1307,-17,0,,0,N,174,166,147,1,1121,,,,,,,,,
2018-10-31,DL,DL,DL,2452,DL,N948DL,2452,10397,ATL,"Atlanta, GA",14524,RIC,"Richmond, VA",953,952,-1,8,1000,1106,7,1121,1113,-8,0,,0,N,88,81,66,1,481,,,,,,,,,
2019-10-28,WN,WN,WN,643,WN,N262WN,643,11259,DAL,"Dallas, TX",10994,CHS,"Charleston, SC",945,942,-3,17,959,1257,25,1315,1322,7,0,,0,N,150,160,118,1,977,,,,,,,,,
2019-06-29,WN,WN,WN,3483,WN,N969WN,3483,12889,LAS,"Las Vegas, NV",11540,ELP,"El Paso, TX",1140,1137,-3,18,1155,1414,4,1420,1418,-2,0,,0,N,100,101,79,1,583,,,,,,,,,
